averageRating,numVotes
7.6,19384
7.6,29067
7.4,125566
6.6,21088
6.9,10167
5.9,50281
6.5,16371
8.2,48388
6.9,15150
7.4,44433
6.6,18301
8.7,14823
8.3,21560
7.7,21061
6.6,16989
8.0,95923
7.4,40857
7.3,19222
6.9,15100
7.4,158486
6.9,17903
6.8,39124
7.4,94478
6.8,19187
7.5,24043
5.9,28292
7.1,11892
7.7,36066
6.8,49124
6.7,22432
7.5,54563
8.2,41153
6.8,16718
7.4,31372
8.1,136254
7.5,101501
7.9,61953
7.2,26302
6.5,10698
8.1,489557
7.7,20907
6.7,15269
6.9,16839
7.9,12126
8.3,671619
8.5,18421
8.4,15356
7.5,11170
7.8,12699
7.4,12522
8.0,241767
7.4,48816
7.9,18978
7.6,173123
6.2,10431
7.4,18271
3.8,20516
6.3,11007
6.4,19801
8.1,10385
7.4,11745
6.7,18779
7.4,18042
6.2,12358
6.5,16253
8.9,12995
7.6,30550
6.7,17072
6.4,21158
7.4,20471
6.3,14368
6.9,54458
6.8,66517
7.3,32759
7.0,42344
7.7,10500
7.7,15865
7.1,92208
8.6,1169000
7.4,72575
7.1,12913
6.9,10781
7.0,11083
7.6,10764
7.0,24136
6.9,19148
6.9,16288
7.3,11629
6.4,14148
6.3,27648
7.9,106241
7.9,48041
7.3,25835
8.1,293608
7.8,10432
7.2,13038
6.4,21920
6.4,15845
6.8,12785
6.4,12640
6.1,15833
7.2,220726
7.8,215594
6.9,17419
6.3,27860
6.8,11917
8.3,22311
5.7,24651
7.4,17153
7.4,48543
5.8,66828
8.2,15156
6.2,28289
7.6,68354
7.5,107319
5.9,17675
6.7,19013
7.7,13610
7.3,152070
7.0,34325
7.6,31946
6.8,10994
5.4,13066
7.4,28601
6.1,14406
5.8,29958
8.4,741564
7.9,25544
6.2,33412
8.4,569505
8.0,62153
6.0,21885
7.3,11010
7.5,21060
7.7,20589
6.8,23478
5.9,47761
7.4,25256
7.8,11322
7.6,108749
8.6,16311
6.9,14829
7.6,33205
7.2,50488
7.8,123419
8.1,346446
6.9,181806
7.9,125002
6.2,17877
6.3,84810
8.1,10592
7.6,30611
7.5,30065
6.8,29731
7.3,16101
7.3,180475
7.7,23620
6.8,19302
8.2,103915
6.4,77199
7.3,14078
7.1,14469
6.9,24015
7.6,88274
7.5,33750
7.4,20526
8.1,10898
8.6,11421
7.8,11541
6.8,25642
7.7,197365
6.9,30300
6.2,20137
6.2,16474
7.3,13803
4.6,11849
7.2,17809
5.8,59636
7.9,172612
6.1,10226
7.2,14934
7.3,99939
5.4,32103
7.2,27778
6.1,11253
7.5,15732
6.4,17390
7.4,11487
7.1,32158
8.1,206542
8.7,1096790
6.6,19086
6.7,19875
6.5,47484
6.8,59605
6.5,111015
7.3,50203
6.8,12771
6.6,17105
8.0,29713
8.4,12994
7.6,17757
6.5,13051
7.7,43754
6.3,14559
5.3,27918
6.2,22282
5.4,14127
8.2,301104
6.8,44678
8.4,829576
5.3,14021
7.2,25357
7.3,20035
6.8,23613
6.8,93642
7.0,55217
6.3,12361
6.7,12749
6.7,10782
5.2,11298
8.8,24120
9.3,33469
8.9,43049
7.2,14492
6.9,11263
7.5,85897
6.9,24525
7.4,39856
7.4,28968
8.3,218241
6.4,14321
6.3,31407
7.2,51007
7.6,20264
6.9,38662
6.9,131625
6.1,13536
7.2,11203
6.7,13992
6.8,18749
6.6,13787
7.2,116515
7.4,54881
5.6,17454
6.8,86335
7.3,79904
7.0,11295
6.1,54486
5.9,11395
7.4,34928
7.2,12709
7.3,19635
6.5,70033
6.7,29464
6.9,43836
6.6,29098
7.6,158786
6.7,13472
6.3,16253
7.8,16234
6.4,15970
7.6,26092
6.6,25705
7.4,21972
6.6,20422
7.6,12088
6.2,11572
8.4,838664
7.3,19584
7.2,15121
6.9,61320
6.8,15831
7.4,22788
6.7,25891
7.8,44767
7.2,14859
6.9,27943
8.4,14627
8.1,12648
6.9,65129
6.2,46396
6.6,37780
6.2,15054
6.2,19038
8.1,652457
6.2,18160
6.9,39615
7.2,58743
6.9,19338
7.0,11152
7.1,17753
7.8,349987
7.5,176256
7.1,12724
8.1,53695
7.2,87848
5.9,23936
7.7,213664
8.1,28780
5.7,43861
8.0,211033
4.4,31173
7.5,23155
9.0,13490
6.6,17627
7.7,17156
7.9,12860
6.6,13186
7.0,45860
8.1,72498
7.3,134031
6.2,36186
6.8,163699
7.6,34363
8.2,11841
7.6,38675
7.7,107747
5.4,12302
7.1,18895
8.1,345976
7.4,91914
5.9,10698
6.8,108653
7.7,33452
7.6,18405
8.3,20923
7.2,23954
8.2,11410
7.5,32137
8.1,33639
6.8,17416
7.9,12585
7.4,13900
5.9,14864
7.2,13111
7.2,30967
6.4,15884
6.5,10378
6.7,66562
8.0,126458
6.1,36509
7.0,13491
7.2,56811
8.2,15425
7.2,11564
6.2,44379
6.8,11672
4.9,40485
6.7,21616
8.4,12071
3.7,37145
5.8,10218
7.8,77536
8.3,33055
6.1,28668
7.3,19641
6.4,10130
6.4,23020
7.3,13989
7.6,108335
6.5,19940
7.4,90384
6.2,57742
8.1,20072
6.6,89413
7.1,70616
5.1,10335
6.5,22166
8.3,899327
7.8,53630
6.8,76016
7.2,29984
8.3,691399
7.2,17244
6.3,23841
4.7,13722
6.7,15002
6.6,38343
5.0,61477
7.4,51314
7.5,127805
6.5,31296
6.4,12168
7.3,77817
7.1,85828
7.1,18388
6.5,11817
7.7,38035
8.3,22543
8.7,18568
7.3,29807
7.4,21620
6.9,16742
8.0,19352
6.5,10182
6.8,47757
6.3,22746
6.6,15623
8.3,348908
6.3,33853
7.3,153613
7.3,20294
7.6,82040
6.8,26499
7.0,22787
7.4,22583
5.1,14215
5.7,44664
7.8,11594
6.7,14108
5.9,73310
6.5,15462
6.3,12994
6.5,114958
6.8,10004
6.5,11805
6.1,27873
6.6,65641
7.3,10715
6.0,41258
7.8,336616
7.3,186027
6.4,16945
7.6,421344
6.5,12710
7.2,163437
8.1,133538
7.8,48825
7.2,10896
6.8,36293
5.4,13050
6.5,10377
6.9,18472
7.5,41120
6.4,17226
7.5,193423
7.1,62072
8.4,289796
8.1,79506
7.3,16052
6.8,21548
6.1,13398
6.7,106856
6.6,18119
6.4,48775
6.9,31696
6.6,46813
6.9,78059
5.9,10940
7.7,11091
5.9,12736
7.1,97788
6.2,65253
6.7,70861
7.0,40402
8.6,11468
7.5,32255
6.7,16715
4.4,17561
8.0,759923
7.9,123174
8.7,14779
6.3,14786
7.2,56275
7.4,124549
5.9,13084
8.6,40519
8.4,15235
8.5,43271
7.9,28960
6.6,12685
7.7,33721
7.6,17042
7.9,15106
7.7,52935
5.5,13042
8.5,18251
8.5,977199
7.1,39638
6.4,28731
7.9,179493
7.9,328664
6.5,33786
6.3,21624
7.3,73395
6.7,54055
7.8,73514
6.7,138596
6.3,11583
7.2,59932
5.9,13169
6.7,18551
6.0,19727
6.9,41415
6.6,18582
6.7,16468
6.7,15641
6.9,45223
4.8,31103
7.1,56019
7.8,226862
2.2,10567
6.5,10305
6.5,12460
6.1,48072
7.6,26456
6.5,12917
5.3,11833
7.4,13385
7.0,41269
6.9,12226
6.5,56710
6.1,20835
6.3,121228
5.7,14131
7.2,24669
7.6,17489
6.2,54634
5.5,57402
5.7,14624
5.5,12540
7.2,67305
7.3,49483
7.0,47464
5.8,48561
6.7,21652
7.7,44445
6.8,23458
6.5,146269
8.2,103422
7.2,52080
7.0,28777
5.1,36945
6.5,10420
7.3,51235
6.7,23236
6.9,176401
7.2,25122
6.3,11036
6.4,22318
7.2,35217
6.4,42085
6.4,33704
5.9,12410
6.6,13348
6.3,12914
7.0,18197
6.1,43173
8.0,10598
7.3,27146
6.3,23425
7.2,12362
6.4,82816
6.6,75353
7.4,80988
6.9,13143
6.8,18078
7.4,29639
6.6,87730
7.4,16563
6.2,13629
8.3,620223
6.9,46422
6.2,13092
5.7,10207
7.0,13319
6.6,26353
7.3,116750
7.8,168616
7.2,14130
5.6,10179
6.6,10740
5.8,63720
7.0,70163
6.1,29524
7.1,13318
5.6,17801
6.2,14836
7.8,44921
7.8,299481
6.9,41866
7.5,150054
6.0,35374
6.7,20453
6.0,48693
7.2,41952
6.3,11141
7.9,63472
6.9,37444
7.1,115974
7.2,41299
7.5,40756
6.2,21692
4.7,40933
8.3,47087
5.5,12738
8.0,22879
5.9,17331
6.0,67945
8.1,10699
7.4,117334
7.0,60971
7.1,16493
6.9,13827
7.3,12158
7.2,61471
8.0,19680
6.9,10126
5.5,28489
7.4,52938
7.3,12273
6.4,47887
6.6,25332
6.8,13366
7.7,96700
6.8,19172
6.0,35510
8.1,21338
6.5,13204
6.3,31049
8.1,362175
5.4,40244
5.7,23544
6.8,69994
5.4,12134
5.6,28759
7.0,14866
7.3,37075
6.6,10706
6.9,24611
7.4,18222
6.7,53985
7.0,28175
6.9,15157
5.7,12459
8.1,344088
7.3,74700
7.9,14094
8.0,133428
5.6,25892
6.5,64765
6.9,273280
7.3,36300
6.0,11357
6.0,13675
7.5,19240
6.2,11729
7.2,10164
8.6,38702
9.0,19634
8.1,27558
6.7,50239
8.0,92277
8.6,91437
5.6,51196
6.7,29676
6.9,35247
7.3,75821
8.0,29035
7.8,16915
6.2,12999
6.6,42313
7.2,17765
6.5,101529
6.5,11019
6.0,19782
6.8,71548
7.3,22759
7.2,25440
6.8,30524
6.1,20926
7.4,11849
7.0,186565
6.0,30225
7.7,17651
7.8,109058
5.5,10450
7.8,140461
6.9,70596
8.3,634035
6.1,14077
7.3,119565
6.7,22421
6.0,29641
7.0,96256
7.0,15987
8.0,60173
7.3,11839
7.3,19431
6.8,51384
2.9,38732
6.9,26295
7.7,87931
6.4,17390
7.6,225547
6.7,83330
7.3,115936
5.9,27519
5.4,34977
7.7,14761
7.1,26172
7.1,45625
7.8,12875
8.7,13999
7.0,31221
6.2,12371
6.6,66076
7.1,33155
7.0,13526
5.8,47596
6.9,49414
7.6,115165
5.0,38250
7.8,354967
6.7,34209
8.1,371845
7.5,29811
7.3,119758
5.1,12809
7.5,220857
6.6,38742
6.7,134812
6.5,27871
7.1,25743
7.1,163501
6.6,22144
7.3,15158
6.8,12098
6.6,16216
3.7,40754
3.3,10385
6.0,44646
7.2,10221
6.3,31837
7.9,263900
7.4,137438
6.5,58319
7.7,37771
8.5,22311
8.6,34775
8.4,31397
7.0,38160
8.3,32551
6.0,27189
6.8,14146
7.1,29846
8.0,149678
6.3,13551
7.3,12164
6.9,21971
7.5,243021
7.3,186251
6.4,11268
6.6,13683
7.2,10774
8.0,11459
6.5,29535
7.1,44997
3.8,14241
6.6,82130
5.9,76013
5.4,14697
6.7,23017
7.0,153228
5.5,13106
7.6,61435
6.3,38128
7.3,37885
8.2,746775
7.4,61157
7.2,17690
6.6,12217
7.5,125548
6.9,46670
5.3,29887
6.2,18512
7.0,22822
7.6,45858
6.7,36934
6.9,18930
5.9,41033
6.5,38904
8.5,209821
6.6,11717
7.1,15796
6.2,30447
8.2,17499
8.1,15536
7.4,75645
7.6,48434
6.3,17173
3.3,11037
6.0,12878
6.2,15247
7.5,67946
7.8,81879
6.2,10012
6.1,15193
7.5,32878
5.3,24063
6.2,23210
7.6,141242
7.5,10711
5.7,46997
8.5,211214
6.7,40947
7.7,15698
7.4,11601
6.5,12451
4.6,31055
4.7,16025
6.0,15540
6.2,18851
8.0,452610
5.8,115739
6.1,61160
5.8,17344
7.7,13065
7.0,81632
6.5,20932
5.9,12466
5.9,10835
6.8,11015
5.7,22770
7.7,31079
7.3,11915
6.1,27411
7.0,17774
7.3,101330
8.0,20425
8.2,250769
6.9,14908
6.1,107441
7.3,32191
6.2,10129
7.7,173237
7.3,95920
6.8,49093
6.9,51733
5.3,23493
8.8,45516
7.6,15970
6.5,23010
